

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.008  000.008: --- NVIM STARTING ---
000.127  000.119: event init
000.311  000.184: early init
000.831  000.520: locale set
000.885  000.054: init first window
001.416  000.531: inits 1
001.433  000.017: window checked
001.443  000.010: parsing arguments
002.032  000.094  000.094: require('vim.shared')
002.173  000.052  000.052: require('vim._meta')
002.175  000.139  000.087: require('vim._editor')
002.178  000.279  000.047: require('vim._init_packages')
002.179  000.458: init lua interpreter
004.359  002.180: expanding arguments
004.453  000.094: inits 2
004.798  000.345: init highlight
004.800  000.002: waiting for UI
007.715  002.915: done waiting for UI
007.732  000.017: init screen for UI
007.985  000.253: init default mappings
008.012  000.026: init default autocommands
011.487  000.318  000.318: sourcing /Users/beps/sw/nvim-macos/share/nvim/runtime/ftplugin.vim
012.160  000.075  000.075: sourcing /Users/beps/sw/nvim-macos/share/nvim/runtime/indent.vim
014.150  000.226  000.226: require('beps.disable_builtin')
016.288  000.528  000.528: require('packer.util')
016.329  002.125  001.598: require('packer')
016.873  000.540  000.540: require('packer.log')
017.918  000.393  000.393: require('packer.async')
018.663  000.310  000.310: require('packer.result')
018.668  000.746  000.435: require('packer.jobs')
018.675  001.759  000.620: require('packer.plugin_utils')
019.140  000.448  000.448: require('packer.snapshot')
032.895  013.285  013.285: require('impatient')
032.929  000.016  000.016: require('vim.keymap')
033.292  000.175  000.175: require('nightfox')
033.561  000.265  000.265: require('nightfox.util.deprecation')
033.684  000.119  000.119: require('nightfox.lib.deprecation')
034.208  000.083  000.083: require('nightfox.lib.collect')
034.319  000.107  000.107: require('nightfox.util')
034.547  000.555  000.365: require('nightfox.config')
034.758  000.085  000.085: require('nightfox.lib.highlight')
034.762  000.211  000.126: require('nightfox.main')
035.004  000.239  000.239: require('nightfox.override')
036.130  001.087  001.087: require('nightfox.precompiled.nvim.nordfox_compiled')
036.137  002.183  000.090: sourcing /Users/beps/.local/share/nvim/site/pack/packer/start/nightfox.nvim/colors/nordfox.vim
036.683  000.519  000.519: require('nvim-web-devicons')
036.697  000.007  000.007: require('vim.F')
040.011  000.176  000.176: require('vim.treesitter.language')
040.024  000.353  000.177: require('vim.treesitter.query')
040.833  000.107  000.107: require('vim.treesitter.languagetree')
040.882  000.295  000.188: require('vim.treesitter')
041.067  000.774  000.479: require('nvim-treesitter.parsers')
041.258  000.189  000.189: require('nvim-treesitter.utils')
041.265  001.106  000.143: require('nvim-treesitter.ts_utils')
041.273  001.246  000.140: require('nvim-treesitter.tsrange')
041.362  000.087  000.087: require('nvim-treesitter.caching')
041.375  001.876  000.190: require('nvim-treesitter.query')
041.393  002.149  000.273: require('nvim-treesitter.configs')
041.675  000.115  000.115: require('luatab')
042.002  000.088  000.088: require('nightfox.palette')
042.197  000.099  000.099: require('nightfox.lib.color')
042.277  000.077  000.077: require('nightfox.lib.shade')
042.354  000.344  000.168: require('nightfox.palette.nordfox')
042.582  000.084  000.084: require('lualine_require')
042.998  000.641  000.557: require('lualine')
045.177  000.113  000.113: require('nightfox.util.lualine')
045.343  000.077  000.077: require('nightfox.util.template')
